time (s),v("/D6" ?result "tran") (V)
0.000,41.07E-9
48.83E-15,-8.558E-6
146.5E-15,-26.42E-6
341.8E-15,-62.24E-6
609.9E-15,-107.0E-6
1.146E-12,-185.9E-6
1.969E-12,-295.4E-6
3.615E-12,-435.1E-6
6.132E-12,-548.2E-6
9.591E-12,-603.4E-6
14.18E-12,-605.7E-6
20.31E-12,-578.3E-6
28.02E-12,-552.2E-6
32.60E-12,-534.8E-6
38.89E-12,-463.3E-6
43.43E-12,-382.3E-6
46.72E-12,-302.7E-6
50.00E-12,-161.4E-6
50.05E-12,-146.0E-6
50.16E-12,-113.8E-6
50.21E-12,-97.64E-6
50.31E-12,-66.61E-6
50.52E-12,-7.390E-6
50.93E-12,95.84E-6
51.76E-12,266.8E-6
53.42E-12,503.1E-6
56.01E-12,674.7E-6
58.82E-12,630.5E-6
62.21E-12,275.2E-6
65.10E-12,-183.3E-6
68.40E-12,-653.5E-6
72.95E-12,-911.7E-6
76.28E-12,-920.4E-6
79.25E-12,-852.4E-6
83.03E-12,-687.7E-6
87.56E-12,-389.0E-6
92.00E-12,-67.88E-6
95.84E-12,142.4E-6
100.0E-12,290.0E-6
100.1E-12,292.0E-6
100.2E-12,295.9E-6
100.3E-12,297.9E-6
100.4E-12,301.6E-6
100.7E-12,308.7E-6
101.3E-12,321.5E-6
102.4E-12,342.5E-6
104.7E-12,371.0E-6
109.3E-12,396.0E-6
117.6E-12,390.7E-6
127.7E-12,349.3E-6
138.5E-12,313.8E-6
150.5E-12,318.3E-6
159.7E-12,315.9E-6
169.2E-12,294.5E-6
178.4E-12,283.7E-6
190.4E-12,274.2E-6
200.0E-12,265.5E-6
200.2E-12,270.7E-6
200.6E-12,280.8E-6
201.5E-12,295.4E-6
201.9E-12,300.2E-6
202.8E-12,306.4E-6
204.5E-12,310.4E-6
207.9E-12,298.6E-6
214.7E-12,262.1E-6
221.7E-12,243.8E-6
229.0E-12,233.7E-6
238.0E-12,223.2E-6
246.8E-12,213.2E-6
258.7E-12,200.1E-6
271.3E-12,186.7E-6
285.7E-12,172.6E-6
302.1E-12,157.4E-6
322.4E-12,139.8E-6
338.3E-12,126.6E-6
355.3E-12,113.4E-6
373.4E-12,99.46E-6
386.7E-12,91.33E-6
400.0E-12,82.64E-6
400.3E-12,78.04E-6
400.9E-12,69.65E-6
401.2E-12,66.42E-6
401.8E-12,61.65E-6
403.0E-12,56.72E-6
405.5E-12,57.09E-6
410.3E-12,67.82E-6
420.1E-12,77.27E-6
435.9E-12,68.18E-6
454.5E-12,57.20E-6
477.4E-12,47.57E-6
507.1E-12,37.25E-6
553.4E-12,25.63E-6
618.8E-12,14.89E-6
706.8E-12,7.042E-6
820.7E-12,2.574E-6
976.1E-12,495.2E-9
1.182E-9,38.49E-9
1.458E-9,-97.95E-9
1.842E-9,-21.16E-9
2.171E-9,-103.9E-9
2.500E-9,-24.45E-9
2.500E-9,61.63E-6
2.501E-9,184.1E-6
2.501E-9,365.1E-6
2.502E-9,547.6E-6
2.504E-9,757.1E-6
2.509E-9,881.9E-6
2.515E-9,868.0E-6
2.524E-9,797.5E-6
2.527E-9,730.5E-6
2.530E-9,660.0E-6
2.534E-9,554.2E-6
2.536E-9,458.2E-6
2.539E-9,400.3E-6
2.540E-9,423.3E-6
2.542E-9,523.6E-6
2.544E-9,629.2E-6
2.546E-9,745.3E-6
2.547E-9,805.3E-6
2.549E-9,836.3E-6
2.550E-9,851.5E-6
2.550E-9,845.2E-6
2.550E-9,831.5E-6
2.550E-9,824.5E-6
2.550E-9,811.0E-6
2.550E-9,784.6E-6
2.550E-9,771.8E-6
2.551E-9,746.8E-6
2.551E-9,699.4E-6
2.551E-9,614.0E-6
2.552E-9,473.4E-6
2.555E-9,276.3E-6
2.558E-9,119.7E-6
2.561E-9,32.05E-6
2.564E-9,-19.63E-6
2.568E-9,-41.82E-6
2.573E-9,21.22E-6
2.578E-9,195.5E-6
2.582E-9,378.5E-6
2.587E-9,581.2E-6
2.591E-9,735.1E-6
2.597E-9,838.5E-6
2.598E-9,850.3E-6
2.601E-9,858.2E-6
2.601E-9,857.7E-6
2.602E-9,855.6E-6
2.602E-9,854.1E-6
2.603E-9,849.9E-6
2.604E-9,836.9E-6
2.607E-9,788.9E-6
2.612E-9,631.2E-6
2.616E-9,369.7E-6
2.621E-9,83.03E-6
2.627E-9,-195.2E-6
2.633E-9,-408.4E-6
2.640E-9,-573.9E-6
2.649E-9,-669.6E-6
2.660E-9,-694.2E-6
2.675E-9,-659.0E-6
2.695E-9,-548.7E-6
2.700E-9,-497.4E-6
2.710E-9,-329.4E-6
2.716E-9,-123.9E-6
2.721E-9,325.0E-6
2.727E-9,1.733E-3
2.730E-9,3.210E-3
2.733E-9,4.517E-3
2.736E-9,4.698E-3
2.739E-9,4.301E-3
2.742E-9,3.483E-3
2.745E-9,2.664E-3
2.748E-9,2.111E-3
2.750E-9,1.606E-3
2.753E-9,1.107E-3
2.757E-9,723.8E-6
2.759E-9,536.1E-6
2.762E-9,434.3E-6
2.765E-9,406.4E-6
2.767E-9,402.4E-6
2.770E-9,415.9E-6
2.773E-9,527.5E-6
2.776E-9,777.4E-6
2.778E-9,1.283E-3
2.781E-9,2.049E-3
2.783E-9,3.161E-3
2.786E-9,4.229E-3
2.788E-9,4.638E-3
2.791E-9,4.150E-3
2.794E-9,2.903E-3
2.798E-9,1.306E-3
2.801E-9,330.3E-6
2.803E-9,-320.1E-6
2.806E-9,-686.8E-6
2.810E-9,-753.9E-6
2.814E-9,-644.1E-6
2.818E-9,-453.6E-6
2.821E-9,-327.3E-6
2.824E-9,-190.1E-6
2.827E-9,-87.93E-6
2.829E-9,-28.71E-6
2.833E-9,31.47E-6
2.836E-9,97.54E-6
2.838E-9,120.9E-6
2.841E-9,94.73E-6
2.844E-9,39.29E-6
2.848E-9,-20.02E-6
2.853E-9,144.9E-6
2.854E-9,223.2E-6
2.855E-9,392.8E-6
2.858E-9,574.5E-6
2.860E-9,604.3E-6
2.863E-9,523.5E-6
2.867E-9,381.6E-6
2.870E-9,200.5E-6
2.875E-9,55.73E-6
2.878E-9,-9.676E-6
2.881E-9,-83.90E-6
2.885E-9,-204.6E-6
2.888E-9,-364.0E-6
2.893E-9,-695.9E-6
2.898E-9,-1.017E-3
2.900E-9,-892.9E-6
2.903E-9,-504.9E-6
2.907E-9,-181.1E-6
2.910E-9,-23.41E-6
2.912E-9,60.25E-6
2.915E-9,100.8E-6
