time (s),v("/D0" ?result "tran") (V)
0.000,41.07E-9
48.83E-15,-8.894E-6
146.5E-15,-28.34E-6
341.8E-15,-67.61E-6
609.9E-15,-116.5E-6
1.146E-12,-208.7E-6
1.969E-12,-312.4E-6
3.615E-12,-448.5E-6
6.132E-12,-550.5E-6
9.591E-12,-597.2E-6
14.18E-12,-598.8E-6
20.31E-12,-577.8E-6
28.02E-12,-554.1E-6
32.60E-12,-527.0E-6
38.89E-12,-435.5E-6
43.43E-12,-344.8E-6
46.72E-12,-261.5E-6
50.00E-12,-117.2E-6
50.05E-12,-97.32E-6
50.16E-12,-66.01E-6
50.21E-12,-49.95E-6
50.31E-12,-19.78E-6
50.52E-12,37.89E-6
50.93E-12,140.9E-6
51.76E-12,308.4E-6
53.42E-12,534.5E-6
56.01E-12,661.8E-6
58.82E-12,577.5E-6
62.21E-12,213.2E-6
65.10E-12,-243.0E-6
68.40E-12,-706.7E-6
72.95E-12,-945.7E-6
76.28E-12,-940.0E-6
79.25E-12,-862.6E-6
83.03E-12,-690.1E-6
87.56E-12,-386.1E-6
92.00E-12,-62.70E-6
95.84E-12,145.2E-6
100.0E-12,293.1E-6
100.1E-12,295.4E-6
100.2E-12,300.1E-6
100.3E-12,302.4E-6
100.4E-12,306.9E-6
100.7E-12,315.2E-6
101.3E-12,329.7E-6
102.4E-12,351.9E-6
104.7E-12,379.7E-6
109.3E-12,402.5E-6
117.6E-12,400.6E-6
127.7E-12,370.0E-6
138.5E-12,340.6E-6
150.5E-12,335.7E-6
159.7E-12,333.9E-6
169.2E-12,320.7E-6
178.4E-12,312.8E-6
190.4E-12,309.7E-6
200.0E-12,298.0E-6
200.2E-12,298.4E-6
200.6E-12,299.2E-6
201.5E-12,299.0E-6
201.9E-12,297.9E-6
202.8E-12,294.8E-6
204.5E-12,285.5E-6
207.9E-12,263.2E-6
214.7E-12,223.7E-6
221.7E-12,192.2E-6
229.0E-12,165.5E-6
238.0E-12,142.6E-6
246.8E-12,143.1E-6
258.7E-12,154.5E-6
271.3E-12,165.3E-6
285.7E-12,159.8E-6
302.1E-12,143.1E-6
322.4E-12,127.1E-6
338.3E-12,132.9E-6
355.3E-12,138.7E-6
373.4E-12,133.9E-6
386.7E-12,130.8E-6
400.0E-12,116.8E-6
400.3E-12,115.8E-6
400.9E-12,113.7E-6
401.2E-12,112.8E-6
401.8E-12,111.3E-6
403.0E-12,108.9E-6
405.5E-12,105.3E-6
410.3E-12,99.21E-6
420.1E-12,86.37E-6
435.9E-12,69.05E-6
454.5E-12,56.63E-6
477.4E-12,46.38E-6
507.1E-12,36.60E-6
553.4E-12,25.15E-6
618.8E-12,14.69E-6
706.8E-12,6.804E-6
820.7E-12,2.406E-6
976.1E-12,774.7E-9
