time (s),v("/D3" ?result "tran") (V)
0.000,1.000
48.83E-15,1.000
146.5E-15,999.9E-3
341.8E-15,999.9E-3
609.9E-15,999.8E-3
1.146E-12,999.6E-3
1.969E-12,999.3E-3
3.615E-12,998.9E-3
6.132E-12,998.4E-3
9.591E-12,997.9E-3
14.18E-12,997.6E-3
20.31E-12,997.3E-3
28.02E-12,997.1E-3
32.60E-12,997.4E-3
38.89E-12,999.4E-3
43.43E-12,1.002
46.72E-12,1.005
50.00E-12,1.010
50.05E-12,1.010
50.16E-12,1.010
50.21E-12,1.011
50.31E-12,1.011
50.52E-12,1.011
50.93E-12,1.012
51.76E-12,1.014
53.42E-12,1.017
56.01E-12,1.020
58.82E-12,1.014
62.21E-12,977.6E-3
65.10E-12,913.7E-3
68.40E-12,801.6E-3
72.95E-12,606.8E-3
76.28E-12,464.2E-3
79.25E-12,347.7E-3
83.03E-12,221.1E-3
87.56E-12,114.3E-3
92.00E-12,56.31E-3
95.84E-12,30.29E-3
100.0E-12,15.52E-3
100.1E-12,15.36E-3
100.2E-12,15.03E-3
100.3E-12,14.87E-3
100.4E-12,14.56E-3
100.7E-12,13.96E-3
101.3E-12,12.83E-3
102.4E-12,10.84E-3
104.7E-12,7.777E-3
109.3E-12,4.073E-3
117.6E-12,1.425E-3
127.7E-12,651.9E-6
138.5E-12,477.4E-6
150.5E-12,385.7E-6
159.7E-12,349.6E-6
169.2E-12,324.1E-6
178.4E-12,306.4E-6
190.4E-12,288.3E-6
200.0E-12,275.4E-6
200.2E-12,280.1E-6
200.6E-12,289.1E-6
201.5E-12,301.3E-6
201.9E-12,304.7E-6
202.8E-12,308.4E-6
204.5E-12,307.3E-6
207.9E-12,292.8E-6
214.7E-12,264.5E-6
221.7E-12,248.8E-6
229.0E-12,238.3E-6
238.0E-12,226.7E-6
246.8E-12,216.0E-6
258.7E-12,201.8E-6
271.3E-12,186.6E-6
285.7E-12,170.0E-6
302.1E-12,152.6E-6
322.4E-12,134.3E-6
338.3E-12,123.8E-6
355.3E-12,115.4E-6
373.4E-12,109.1E-6
386.7E-12,106.3E-6
400.0E-12,95.95E-6
400.3E-12,95.39E-6
400.9E-12,94.31E-6
401.2E-12,93.85E-6
401.8E-12,93.05E-6
403.0E-12,91.76E-6
405.5E-12,89.70E-6
410.3E-12,85.73E-6
420.1E-12,77.17E-6
435.9E-12,65.29E-6
454.5E-12,55.45E-6
477.4E-12,46.01E-6
507.1E-12,36.46E-6
553.4E-12,25.13E-6
618.8E-12,14.72E-6
706.8E-12,6.911E-6
820.7E-12,2.553E-6
976.1E-12,471.2E-9
1.182E-9,53.39E-9
1.458E-9,-88.22E-9
1.842E-9,2.861E-9
2.171E-9,-82.17E-9
2.500E-9,-1.803E-9
2.500E-9,56.53E-6
2.501E-9,171.3E-6
2.501E-9,333.8E-6
2.502E-9,493.4E-6
2.504E-9,675.9E-6
2.509E-9,799.2E-6
2.515E-9,815.5E-6
2.524E-9,779.4E-6
2.527E-9,749.1E-6
2.530E-9,730.6E-6
2.534E-9,711.0E-6
2.536E-9,699.0E-6
2.539E-9,691.7E-6
2.540E-9,691.2E-6
2.542E-9,695.9E-6
2.544E-9,699.8E-6
2.546E-9,700.6E-6
2.547E-9,698.7E-6
2.549E-9,697.1E-6
2.550E-9,696.9E-6
2.550E-9,690.8E-6
2.550E-9,677.8E-6
2.550E-9,671.3E-6
2.550E-9,658.7E-6
2.550E-9,634.3E-6
2.550E-9,622.6E-6
2.551E-9,599.8E-6
2.551E-9,557.4E-6
2.551E-9,482.6E-6
2.552E-9,364.7E-6
2.555E-9,207.9E-6
2.558E-9,86.13E-6
2.561E-9,14.28E-6
2.564E-9,-30.87E-6
2.568E-9,-49.69E-6
2.573E-9,16.34E-6
2.578E-9,193.1E-6
2.582E-9,377.7E-6
2.587E-9,580.9E-6
2.591E-9,734.5E-6
2.597E-9,837.9E-6
2.598E-9,849.8E-6
2.601E-9,858.0E-6
2.601E-9,857.6E-6
2.602E-9,855.6E-6
2.602E-9,854.2E-6
2.603E-9,850.1E-6
2.604E-9,837.3E-6
2.607E-9,789.7E-6
2.612E-9,632.4E-6
2.616E-9,371.1E-6
2.621E-9,84.50E-6
2.627E-9,-193.7E-6
2.633E-9,-407.1E-6
2.640E-9,-573.1E-6
2.649E-9,-669.7E-6
2.660E-9,-696.1E-6
2.675E-9,-666.2E-6
2.695E-9,-583.9E-6
2.700E-9,-553.4E-6
2.710E-9,-473.3E-6
2.716E-9,-404.4E-6
2.721E-9,-333.0E-6
2.727E-9,-161.0E-6
2.730E-9,818.6E-9
2.733E-9,315.7E-6
2.736E-9,768.6E-6
2.739E-9,1.277E-3
2.742E-9,2.459E-3
2.745E-9,4.069E-3
2.748E-9,4.810E-3
2.750E-9,4.849E-3
2.753E-9,4.237E-3
2.757E-9,3.288E-3
2.759E-9,2.567E-3
2.762E-9,1.918E-3
2.765E-9,1.461E-3
2.767E-9,1.109E-3
2.770E-9,720.0E-6
2.773E-9,420.3E-6
2.776E-9,236.3E-6
2.778E-9,137.8E-6
2.781E-9,92.75E-6
2.783E-9,50.08E-6
2.786E-9,-34.63E-6
2.788E-9,-221.2E-6
2.791E-9,-640.8E-6
2.794E-9,-1.269E-3
2.798E-9,-1.893E-3
2.801E-9,-2.146E-3
2.803E-9,-2.127E-3
2.806E-9,-1.841E-3
2.810E-9,-1.400E-3
2.814E-9,-844.7E-6
2.818E-9,-291.1E-6
2.821E-9,34.86E-6
2.824E-9,469.8E-6
2.827E-9,970.3E-6
2.829E-9,1.617E-3
2.833E-9,2.993E-3
2.836E-9,4.417E-3
2.838E-9,5.032E-3
2.841E-9,4.909E-3
2.844E-9,4.190E-3
2.848E-9,3.085E-3
2.853E-9,2.206E-3
2.854E-9,2.130E-3
2.855E-9,2.027E-3
2.858E-9,1.882E-3
2.860E-9,1.743E-3
2.863E-9,1.579E-3
2.867E-9,1.584E-3
2.870E-9,1.990E-3
2.875E-9,3.484E-3
2.878E-9,4.617E-3
2.881E-9,4.829E-3
2.885E-9,4.198E-3
2.888E-9,3.131E-3
2.893E-9,1.644E-3
2.898E-9,472.6E-6
2.900E-9,259.5E-6
2.903E-9,394.2E-6
2.907E-9,592.1E-6
2.910E-9,823.8E-6
2.912E-9,1.138E-3
2.915E-9,1.648E-3
2.917E-9,2.444E-3
2.920E-9,3.693E-3
2.923E-9,4.228E-3
2.926E-9,4.221E-3
2.928E-9,3.966E-3
2.931E-9,3.623E-3
2.933E-9,3.168E-3
2.936E-9,2.653E-3
2.938E-9,2.199E-3
2.941E-9,1.818E-3
2.943E-9,1.523E-3
2.946E-9,1.246E-3
2.949E-9,1.097E-3
2.951E-9,960.9E-6
2.954E-9,831.3E-6
2.957E-9,763.3E-6
2.959E-9,684.8E-6
2.962E-9,568.4E-6
2.965E-9,455.1E-6
2.969E-9,339.6E-6
2.971E-9,280.2E-6
2.974E-9,203.8E-6
2.977E-9,110.0E-6
2.980E-9,44.86E-6
2.983E-9,288.0E-6
2.986E-9,898.9E-6
2.989E-9,2.458E-3
2.992E-9,3.678E-3
2.995E-9,4.349E-3
2.998E-9,4.313E-3
3.000E-9,3.920E-3
3.003E-9,3.212E-3
3.007E-9,2.507E-3
3.009E-9,2.036E-3
3.012E-9,1.498E-3
3.016E-9,1.087E-3
3.020E-9,722.2E-6
3.022E-9,591.6E-6
3.025E-9,483.5E-6
3.028E-9,369.7E-6
3.031E-9,271.2E-6
3.035E-9,170.6E-6
3.039E-9,80.68E-6
3.045E-9,8.077E-6
3.051E-9,-64.61E-6
3.059E-9,-219.8E-6
3.066E-9,-597.5E-6
3.072E-9,-869.7E-6
3.076E-9,-764.6E-6
3.080E-9,-415.9E-6
3.084E-9,157.3E-6
3.088E-9,825.4E-6
3.090E-9,1.464E-3
3.093E-9,2.275E-3
3.096E-9,3.428E-3
3.098E-9,4.588E-3
3.101E-9,5.227E-3
3.103E-9,5.255E-3
3.106E-9,4.873E-3
3.109E-9,4.073E-3
3.112E-9,3.182E-3
3.116E-9,2.183E-3
3.121E-9,1.301E-3
3.127E-9,683.1E-6
3.134E-9,294.6E-6
3.142E-9,100.0E-6
3.148E-9,56.55E-6
3.155E-9,41.99E-6
3.159E-9,72.02E-6
3.163E-9,112.0E-6
3.166E-9,123.3E-6
3.169E-9,122.2E-6
3.173E-9,117.2E-6
3.178E-9,121.4E-6
3.184E-9,154.7E-6
3.191E-9,273.8E-6
3.196E-9,596.5E-6
3.203E-9,1.722E-3
3.206E-9,3.020E-3
3.209E-9,4.120E-3
3.212E-9,4.142E-3
3.216E-9,3.456E-3
3.219E-9,2.609E-3
3.221E-9,1.944E-3
3.225E-9,1.323E-3
3.229E-9,964.0E-6
3.231E-9,832.4E-6
3.234E-9,765.5E-6
3.237E-9,713.0E-6
3.239E-9,670.5E-6
3.242E-9,637.7E-6
3.244E-9,606.8E-6
3.247E-9,552.6E-6
3.250E-9,456.5E-6
3.253E-9,353.2E-6
3.257E-9,240.0E-6
3.262E-9,140.5E-6
3.268E-9,73.42E-6
3.274E-9,32.64E-6
3.283E-9,12.30E-6
3.295E-9,4.017E-6
3.313E-9,2.344E-6
3.345E-9,1.962E-6
3.408E-9,1.848E-6
3.516E-9,1.333E-6
3.714E-9,997.8E-9
4.077E-9,265.9E-9
4.538E-9,-24.57E-9
5.000E-9,-454.1E-9
5.000E-9,-5.411E-6
5.000E-9,-15.37E-6
5.000E-9,-33.48E-6
5.001E-9,-63.63E-6
5.001E-9,-96.33E-6
5.002E-9,-149.3E-6
5.004E-9,-225.2E-6
5.007E-9,-298.6E-6
5.011E-9,-352.1E-6
5.018E-9,-382.5E-6
5.028E-9,-459.5E-6
5.033E-9,-655.4E-6
5.040E-9,-1.479E-3
5.045E-9,-2.521E-3
5.050E-9,-3.692E-3
5.050E-9,-3.689E-3
5.050E-9,-3.682E-3
5.051E-9,-3.669E-3
5.051E-9,-3.665E-3
5.051E-9,-3.655E-3
5.052E-9,-3.634E-3
5.053E-9,-3.581E-3
5.055E-9,-3.431E-3
5.058E-9,-3.134E-3
5.061E-9,-2.869E-3
5.065E-9,-2.586E-3
5.068E-9,-2.191E-3
5.073E-9,-1.535E-3
