time (s),v("/A0" ?result "tran") (V)
3.090E-9,0.000
3.093E-9,0.000
3.096E-9,0.000
3.098E-9,0.000
3.101E-9,0.000
3.103E-9,0.000
3.106E-9,0.000
3.109E-9,0.000
3.112E-9,0.000
3.116E-9,0.000
3.121E-9,0.000
3.127E-9,0.000
3.134E-9,0.000
3.142E-9,0.000
3.148E-9,0.000
3.155E-9,0.000
3.159E-9,0.000
3.163E-9,0.000
3.166E-9,0.000
3.169E-9,0.000
3.173E-9,0.000
3.178E-9,0.000
3.184E-9,0.000
3.191E-9,0.000
3.196E-9,0.000
3.203E-9,0.000
3.206E-9,0.000
3.209E-9,0.000
3.212E-9,0.000
3.216E-9,0.000
3.219E-9,0.000
3.221E-9,0.000
3.225E-9,0.000
3.229E-9,0.000
3.231E-9,0.000
3.234E-9,0.000
3.237E-9,0.000
3.239E-9,0.000
3.242E-9,0.000
3.244E-9,0.000
3.247E-9,0.000
3.250E-9,0.000
3.253E-9,0.000
3.257E-9,0.000
3.262E-9,0.000
3.268E-9,0.000
3.274E-9,0.000
3.283E-9,0.000
3.295E-9,0.000
3.313E-9,0.000
3.345E-9,0.000
3.408E-9,0.000
3.516E-9,0.000
3.714E-9,0.000
4.077E-9,0.000
4.538E-9,0.000
5.000E-9,0.000
5.000E-9,488.3E-6
5.000E-9,1.465E-3
5.000E-9,3.418E-3
5.001E-9,7.074E-3
5.001E-9,11.74E-3
5.002E-9,21.06E-3
5.004E-9,39.71E-3
5.007E-9,69.56E-3
5.011E-9,113.7E-3
5.018E-9,182.9E-3
5.028E-9,279.9E-3
5.033E-9,328.7E-3
5.040E-9,400.0E-3
5.045E-9,450.2E-3
5.050E-9,500.0E-3
5.050E-9,500.9E-3
5.050E-9,502.6E-3
5.051E-9,506.0E-3
5.051E-9,507.4E-3
5.051E-9,510.0E-3
5.052E-9,515.4E-3
5.053E-9,526.1E-3
5.055E-9,547.5E-3
5.058E-9,582.0E-3
5.061E-9,613.5E-3
5.065E-9,646.7E-3
