time (s),v("/D7" ?result "tran") (V)
0.000,41.07E-9
48.83E-15,-10.08E-6
146.5E-15,-31.38E-6
341.8E-15,-73.67E-6
609.9E-15,-127.0E-6
1.146E-12,-231.8E-6
1.969E-12,-355.4E-6
3.615E-12,-523.5E-6
6.132E-12,-647.8E-6
9.591E-12,-688.3E-6
14.18E-12,-667.4E-6
20.31E-12,-629.0E-6
28.02E-12,-604.2E-6
32.60E-12,-581.6E-6
38.89E-12,-480.2E-6
43.43E-12,-372.1E-6
46.72E-12,-280.2E-6
50.00E-12,-134.5E-6
50.05E-12,-118.7E-6
50.16E-12,-85.61E-6
50.21E-12,-68.98E-6
50.31E-12,-37.11E-6
50.52E-12,23.95E-6
50.93E-12,129.6E-6
51.76E-12,308.2E-6
53.42E-12,555.9E-6
56.01E-12,731.8E-6
58.82E-12,676.0E-6
62.21E-12,296.4E-6
65.10E-12,-185.5E-6
68.40E-12,-679.6E-6
72.95E-12,-965.1E-6
76.28E-12,-988.9E-6
79.25E-12,-930.8E-6
83.03E-12,-773.5E-6
87.56E-12,-475.6E-6
92.00E-12,-147.5E-6
95.84E-12,74.98E-6
100.0E-12,233.2E-6
100.1E-12,237.8E-6
100.2E-12,247.7E-6
100.3E-12,252.7E-6
100.4E-12,262.0E-6
100.7E-12,279.5E-6
101.3E-12,309.6E-6
102.4E-12,354.9E-6
104.7E-12,405.9E-6
109.3E-12,434.4E-6
117.6E-12,420.2E-6
127.7E-12,398.2E-6
138.5E-12,383.4E-6
150.5E-12,359.6E-6
159.7E-12,338.4E-6
169.2E-12,320.0E-6
178.4E-12,305.1E-6
190.4E-12,288.3E-6
200.0E-12,275.7E-6
200.2E-12,279.9E-6
200.6E-12,288.0E-6
201.5E-12,299.0E-6
201.9E-12,302.4E-6
202.8E-12,306.3E-6
204.5E-12,306.6E-6
207.9E-12,295.4E-6
214.7E-12,269.5E-6
221.7E-12,253.4E-6
229.0E-12,242.4E-6
238.0E-12,230.6E-6
246.8E-12,220.0E-6
258.7E-12,206.2E-6
271.3E-12,192.0E-6
285.7E-12,176.5E-6
302.1E-12,159.8E-6
322.4E-12,140.6E-6
338.3E-12,126.6E-6
355.3E-12,112.9E-6
373.4E-12,99.41E-6
386.7E-12,90.45E-6
400.0E-12,82.04E-6
400.3E-12,78.40E-6
400.9E-12,71.85E-6
401.2E-12,69.38E-6
401.8E-12,65.82E-6
403.0E-12,62.34E-6
405.5E-12,62.94E-6
410.3E-12,70.25E-6
420.1E-12,74.52E-6
435.9E-12,65.48E-6
454.5E-12,55.82E-6
477.4E-12,46.41E-6
507.1E-12,36.44E-6
553.4E-12,24.91E-6
618.8E-12,14.28E-6
706.8E-12,6.428E-6
820.7E-12,1.994E-6
976.1E-12,-93.54E-9
1.182E-9,-537.0E-9
1.458E-9,-678.0E-9
1.842E-9,-596.2E-9
2.171E-9,-681.1E-9
2.500E-9,-601.1E-9
2.500E-9,57.00E-6
2.501E-9,172.5E-6
2.501E-9,340.4E-6
2.502E-9,508.4E-6
2.504E-9,701.6E-6
2.509E-9,825.8E-6
2.515E-9,830.4E-6
2.524E-9,786.2E-6
2.527E-9,752.0E-6
2.530E-9,731.3E-6
2.534E-9,712.7E-6
2.536E-9,702.1E-6
2.539E-9,696.3E-6
2.540E-9,694.2E-6
2.542E-9,693.4E-6
2.544E-9,693.3E-6
2.546E-9,691.7E-6
2.547E-9,689.3E-6
2.549E-9,686.3E-6
2.550E-9,682.7E-6
2.550E-9,676.4E-6
2.550E-9,663.1E-6
2.550E-9,656.5E-6
2.550E-9,643.7E-6
2.550E-9,618.8E-6
2.550E-9,606.7E-6
2.551E-9,583.3E-6
2.551E-9,539.1E-6
2.551E-9,460.0E-6
2.552E-9,333.0E-6
2.555E-9,164.1E-6
2.558E-9,42.73E-6
2.561E-9,-16.83E-6
2.564E-9,-47.33E-6
2.568E-9,-54.54E-6
2.573E-9,18.26E-6
2.578E-9,197.0E-6
2.582E-9,381.2E-6
2.587E-9,583.3E-6
2.591E-9,736.0E-6
2.597E-9,838.8E-6
2.598E-9,850.6E-6
2.601E-9,858.6E-6
2.601E-9,858.1E-6
2.602E-9,856.1E-6
2.602E-9,854.6E-6
2.603E-9,850.4E-6
2.604E-9,837.5E-6
2.607E-9,789.7E-6
2.612E-9,632.3E-6
2.616E-9,371.0E-6
2.621E-9,84.46E-6
2.627E-9,-193.7E-6
2.633E-9,-407.1E-6
2.640E-9,-573.3E-6
2.649E-9,-670.2E-6
2.660E-9,-697.3E-6
2.675E-9,-669.8E-6
2.695E-9,-599.4E-6
2.700E-9,-577.1E-6
2.710E-9,-525.7E-6
2.716E-9,-489.6E-6
2.721E-9,-467.5E-6
2.727E-9,-395.9E-6
2.730E-9,-329.2E-6
2.733E-9,-235.1E-6
2.736E-9,-146.0E-6
2.739E-9,-88.02E-6
2.742E-9,-20.06E-6
2.745E-9,96.97E-6
2.748E-9,206.5E-6
