time (s),v("/D2" ?result "tran") (V)
0.000,41.07E-9
48.83E-15,-10.04E-6
146.5E-15,-32.02E-6
341.8E-15,-76.23E-6
609.9E-15,-131.9E-6
1.146E-12,-238.7E-6
1.969E-12,-361.7E-6
3.615E-12,-527.0E-6
6.132E-12,-649.0E-6
9.591E-12,-690.4E-6
14.18E-12,-664.5E-6
20.31E-12,-612.4E-6
28.02E-12,-568.6E-6
32.60E-12,-534.4E-6
38.89E-12,-421.3E-6
43.43E-12,-312.1E-6
46.72E-12,-220.9E-6
50.00E-12,-73.88E-6
50.05E-12,-55.34E-6
50.16E-12,-22.81E-6
50.21E-12,-6.163E-6
50.31E-12,25.29E-6
50.52E-12,85.42E-6
50.93E-12,193.3E-6
51.76E-12,368.8E-6
53.42E-12,596.9E-6
56.01E-12,729.0E-6
58.82E-12,636.0E-6
62.21E-12,240.7E-6
65.10E-12,-235.8E-6
68.40E-12,-710.9E-6
72.95E-12,-952.5E-6
76.28E-12,-943.5E-6
79.25E-12,-862.5E-6
83.03E-12,-686.4E-6
87.56E-12,-380.3E-6
92.00E-12,-52.31E-6
95.84E-12,154.5E-6
100.0E-12,301.7E-6
100.1E-12,303.8E-6
100.2E-12,308.0E-6
100.3E-12,310.1E-6
100.4E-12,314.1E-6
100.7E-12,321.7E-6
101.3E-12,335.0E-6
102.4E-12,355.9E-6
104.7E-12,381.9E-6
109.3E-12,400.1E-6
117.6E-12,383.8E-6
127.7E-12,332.2E-6
138.5E-12,301.4E-6
150.5E-12,307.5E-6
159.7E-12,310.2E-6
169.2E-12,306.3E-6
178.4E-12,298.0E-6
190.4E-12,288.7E-6
200.0E-12,278.6E-6
200.2E-12,284.4E-6
200.6E-12,295.7E-6
201.5E-12,311.7E-6
201.9E-12,316.7E-6
202.8E-12,322.6E-6
204.5E-12,323.3E-6
207.9E-12,306.4E-6
214.7E-12,267.2E-6
221.7E-12,245.0E-6
229.0E-12,233.5E-6
238.0E-12,222.3E-6
246.8E-12,211.9E-6
258.7E-12,197.9E-6
271.3E-12,182.9E-6
285.7E-12,166.4E-6
302.1E-12,148.9E-6
322.4E-12,131.6E-6
338.3E-12,123.8E-6
