time (s),/D5 (V)
57.61E-9,-5.898E-3
57.61E-9,-9.949E-3
57.61E-9,-11.02E-3
57.61E-9,-11.48E-3
57.61E-9,-11.69E-3
57.61E-9,-11.78E-3
57.61E-9,-11.95E-3
57.62E-9,-12.19E-3
57.62E-9,-12.15E-3
57.62E-9,-10.84E-3
57.62E-9,-8.886E-3
57.63E-9,-7.063E-3
57.63E-9,-5.087E-3
57.63E-9,-2.988E-3
57.64E-9,-1.508E-3
57.65E-9,-512.6E-6
57.65E-9,59.51E-6
57.67E-9,328.2E-6
57.68E-9,368.3E-6
57.70E-9,313.8E-6
57.73E-9,249.2E-6
57.76E-9,188.6E-6
57.83E-9,128.7E-6
57.92E-9,91.40E-6
58.04E-9,64.60E-6
58.20E-9,46.59E-6
58.41E-9,32.98E-6
58.70E-9,23.67E-6
59.09E-9,16.67E-6
59.63E-9,12.04E-6
60.00E-9,9.894E-6
60.00E-9,-26.99E-6
60.00E-9,-95.78E-6
60.00E-9,-200.7E-6
60.00E-9,-286.3E-6
60.00E-9,-378.5E-6
60.01E-9,-439.1E-6
60.01E-9,-454.1E-6
60.02E-9,-431.9E-6
60.02E-9,-407.6E-6
60.03E-9,-408.2E-6
60.04E-9,-449.4E-6
60.04E-9,-715.0E-6
60.05E-9,-1.338E-3
60.05E-9,-2.152E-3
60.05E-9,-2.150E-3
60.05E-9,-2.143E-3
60.05E-9,-2.133E-3
60.05E-9,-2.123E-3
60.05E-9,-2.121E-3
60.05E-9,-2.118E-3
60.05E-9,-2.116E-3
60.05E-9,-2.116E-3
60.05E-9,-2.116E-3
60.05E-9,-2.112E-3
60.06E-9,-2.082E-3
60.06E-9,-2.025E-3
60.06E-9,-1.915E-3
60.07E-9,-1.653E-3
60.07E-9,-1.048E-3
60.07E-9,-383.7E-6
60.08E-9,42.04E-6
60.08E-9,181.8E-6
60.09E-9,142.9E-6
60.09E-9,101.4E-6
60.10E-9,95.77E-6
60.10E-9,116.5E-6
60.10E-9,120.0E-6
60.10E-9,127.6E-6
60.10E-9,141.1E-6
60.10E-9,161.2E-6
60.10E-9,163.5E-6
60.10E-9,175.0E-6
60.10E-9,188.6E-6
60.11E-9,198.0E-6
60.11E-9,198.4E-6
60.11E-9,198.5E-6
60.12E-9,199.2E-6
60.12E-9,201.1E-6
60.13E-9,203.2E-6
60.14E-9,205.5E-6
60.14E-9,207.6E-6
60.15E-9,210.9E-6
60.16E-9,216.6E-6
60.17E-9,222.2E-6
60.18E-9,226.6E-6
60.19E-9,229.2E-6
60.20E-9,227.1E-6
60.20E-9,227.2E-6
60.20E-9,227.2E-6
60.20E-9,227.0E-6
60.20E-9,225.8E-6
60.21E-9,223.0E-6
60.21E-9,222.1E-6
60.21E-9,221.8E-6
60.22E-9,226.1E-6
60.23E-9,238.1E-6
60.24E-9,250.7E-6
60.25E-9,263.1E-6
60.26E-9,273.7E-6
60.27E-9,262.2E-6
60.28E-9,267.3E-6
60.29E-9,268.0E-6
60.31E-9,274.5E-6
60.33E-9,275.8E-6
60.35E-9,276.9E-6
60.37E-9,276.6E-6
60.39E-9,274.8E-6
60.39E-9,272.9E-6
60.40E-9,271.4E-6
60.40E-9,273.2E-6
60.40E-9,276.9E-6
60.40E-9,282.6E-6
60.40E-9,284.7E-6
60.40E-9,287.9E-6
60.40E-9,291.0E-6
60.40E-9,291.4E-6
60.41E-9,290.8E-6
60.41E-9,287.3E-6
60.41E-9,279.3E-6
60.42E-9,270.4E-6
60.44E-9,266.9E-6
60.45E-9,264.1E-6
60.47E-9,259.9E-6
60.49E-9,254.0E-6
60.52E-9,245.3E-6
60.55E-9,232.6E-6
60.60E-9,214.1E-6
60.68E-9,190.3E-6
60.77E-9,164.2E-6
60.90E-9,137.0E-6
61.06E-9,92.34E-6
61.27E-9,23.54E-6
61.49E-9,-958.0E-9
61.73E-9,550.4E-9
61.92E-9,-1.730E-6
62.22E-9,358.7E-9
62.50E-9,-1.542E-6
62.50E-9,41.23E-6
62.50E-9,127.3E-6
62.50E-9,255.1E-6
62.50E-9,383.4E-6
62.50E-9,540.5E-6
62.51E-9,665.4E-6
62.51E-9,732.7E-6
62.52E-9,738.7E-6
62.53E-9,717.3E-6
62.53E-9,701.1E-6
62.53E-9,676.2E-6
62.54E-9,660.3E-6
62.54E-9,646.6E-6
62.54E-9,634.7E-6
62.54E-9,626.5E-6
62.54E-9,630.7E-6
62.55E-9,647.0E-6
62.55E-9,668.4E-6
62.55E-9,683.5E-6
62.55E-9,696.0E-6
62.55E-9,691.3E-6
62.55E-9,681.5E-6
62.55E-9,676.6E-6
62.55E-9,667.1E-6
62.55E-9,648.7E-6
62.55E-9,639.9E-6
62.55E-9,622.8E-6
62.55E-9,590.7E-6
62.55E-9,534.0E-6
62.55E-9,442.5E-6
62.55E-9,314.0E-6
62.56E-9,216.4E-6
62.56E-9,140.0E-6
62.56E-9,79.17E-6
62.57E-9,40.25E-6
62.57E-9,93.91E-6
62.58E-9,200.8E-6
62.58E-9,309.0E-6
62.59E-9,417.6E-6
62.59E-9,512.7E-6
62.60E-9,503.3E-6
62.61E-9,-399.6E-6
62.61E-9,-2.482E-3
62.62E-9,-6.157E-3
62.62E-9,-10.13E-3
62.62E-9,-11.04E-3
62.62E-9,-11.40E-3
62.63E-9,-11.83E-3
62.63E-9,-11.51E-3
62.63E-9,-9.918E-3
62.63E-9,-7.946E-3
62.64E-9,-6.154E-3
62.64E-9,-4.180E-3
62.65E-9,-2.353E-3
62.65E-9,-1.065E-3
62.66E-9,-252.1E-6
62.67E-9,195.2E-6
62.68E-9,365.8E-6
62.70E-9,355.9E-6
62.72E-9,294.6E-6
62.75E-9,230.3E-6
62.79E-9,170.1E-6
62.87E-9,117.2E-6
62.96E-9,83.07E-6
63.09E-9,58.89E-6
63.26E-9,42.25E-6
63.49E-9,29.92E-6
63.80E-9,21.35E-6
64.23E-9,15.03E-6
64.62E-9,12.00E-6
65.00E-9,9.787E-6
65.00E-9,-9.417E-6
65.00E-9,-43.57E-6
65.00E-9,-94.67E-6
65.00E-9,-137.0E-6
65.00E-9,-189.7E-6
65.01E-9,-244.8E-6
65.01E-9,-292.8E-6
65.02E-9,-329.1E-6
65.03E-9,-365.2E-6
65.03E-9,-411.2E-6
65.04E-9,-482.0E-6
65.04E-9,-753.1E-6
65.05E-9,-1.316E-3
65.05E-9,-2.225E-3
65.05E-9,-2.221E-3
65.05E-9,-2.213E-3
65.05E-9,-2.203E-3
65.05E-9,-2.201E-3
65.05E-9,-2.198E-3
65.05E-9,-2.196E-3
65.05E-9,-2.195E-3
65.05E-9,-2.193E-3
65.05E-9,-2.184E-3
65.06E-9,-2.149E-3
65.06E-9,-2.053E-3
65.06E-9,-1.903E-3
65.07E-9,-1.604E-3
65.07E-9,-993.5E-6
65.08E-9,-380.2E-6
65.08E-9,-35.49E-6
65.08E-9,34.72E-6
65.09E-9,13.91E-6
65.09E-9,13.60E-6
65.10E-9,33.55E-6
65.10E-9,64.36E-6
65.10E-9,62.63E-6
65.10E-9,58.94E-6
65.10E-9,53.15E-6
65.10E-9,47.04E-6
65.10E-9,45.86E-6
65.10E-9,45.72E-6
65.10E-9,51.39E-6
65.11E-9,74.29E-6
65.11E-9,122.5E-6
65.12E-9,164.5E-6
65.13E-9,186.9E-6
65.14E-9,196.1E-6
65.15E-9,201.5E-6
65.16E-9,209.8E-6
65.18E-9,221.3E-6
65.20E-9,231.7E-6
65.21E-9,240.3E-6
65.23E-9,248.6E-6
65.25E-9,257.3E-6
65.29E-9,265.9E-6
65.34E-9,271.3E-6
65.40E-9,267.8E-6
65.49E-9,249.9E-6
65.60E-9,213.6E-6
65.75E-9,167.4E-6
65.96E-9,122.0E-6
66.15E-9,64.30E-6
66.36E-9,8.218E-6
66.63E-9,-293.5E-9
66.83E-9,-362.1E-9
67.05E-9,293.9E-9
67.27E-9,-163.3E-9
67.50E-9,232.6E-9
67.50E-9,44.24E-6
67.50E-9,128.5E-6
67.50E-9,273.5E-6
67.50E-9,411.5E-6
67.50E-9,583.3E-6
67.51E-9,712.9E-6
67.51E-9,775.1E-6
67.52E-9,773.8E-6
67.53E-9,738.3E-6
67.53E-9,692.6E-6
67.53E-9,604.5E-6
67.54E-9,515.8E-6
67.54E-9,396.8E-6
67.54E-9,316.4E-6
67.54E-9,316.3E-6
67.55E-9,389.4E-6
67.55E-9,478.9E-6
67.55E-9,587.3E-6
67.55E-9,683.1E-6
67.55E-9,680.0E-6
67.55E-9,673.3E-6
67.55E-9,670.0E-6
67.55E-9,663.5E-6
67.55E-9,651.1E-6
67.55E-9,645.1E-6
67.55E-9,633.4E-6
67.55E-9,611.6E-6
67.55E-9,572.5E-6
67.55E-9,508.7E-6
67.55E-9,415.9E-6
67.56E-9,338.5E-6
67.56E-9,262.3E-6
67.56E-9,190.6E-6
67.57E-9,167.3E-6
67.57E-9,229.7E-6
67.58E-9,312.8E-6
67.58E-9,421.7E-6
67.59E-9,504.1E-6
67.59E-9,559.7E-6
67.60E-9,262.5E-6
67.60E-9,-967.2E-6
67.61E-9,-4.162E-3
67.61E-9,-7.969E-3
67.62E-9,-9.713E-3
67.62E-9,-12.12E-3
67.62E-9,-12.02E-3
67.63E-9,-9.871E-3
67.63E-9,-9.127E-3
67.63E-9,-7.735E-3
67.63E-9,-5.678E-3
67.64E-9,-3.408E-3
67.64E-9,-1.771E-3
67.65E-9,-682.9E-6
67.66E-9,-36.49E-6
67.67E-9,287.6E-6
67.68E-9,368.0E-6
67.70E-9,320.5E-6
67.73E-9,258.0E-6
67.76E-9,196.0E-6
67.83E-9,136.2E-6
67.91E-9,95.29E-6
68.03E-9,68.25E-6
68.17E-9,48.09E-6
68.38E-9,35.06E-6
68.65E-9,24.10E-6
69.03E-9,17.95E-6
69.54E-9,11.89E-6
70.00E-9,10.31E-6
70.00E-9,-25.93E-6
70.00E-9,-92.62E-6
70.00E-9,-193.4E-6
70.00E-9,-275.0E-6
70.00E-9,-362.7E-6
70.01E-9,-421.1E-6
70.01E-9,-437.9E-6
70.02E-9,-422.1E-6
70.02E-9,-414.1E-6
70.03E-9,-432.6E-6
70.04E-9,-503.5E-6
70.04E-9,-853.9E-6
70.05E-9,-1.382E-3
70.05E-9,-2.157E-3
70.05E-9,-2.148E-3
70.05E-9,-2.141E-3
70.05E-9,-2.129E-3
70.05E-9,-2.120E-3
70.05E-9,-2.118E-3
70.05E-9,-2.118E-3
70.05E-9,-2.121E-3
70.05E-9,-2.124E-3
70.05E-9,-2.128E-3
70.06E-9,-2.126E-3
70.06E-9,-2.078E-3
70.06E-9,-1.954E-3
70.06E-9,-1.705E-3
70.07E-9,-1.231E-3
70.07E-9,-301.6E-6
70.08E-9,279.5E-6
70.08E-9,501.2E-6
70.08E-9,413.5E-6
70.09E-9,268.2E-6
70.09E-9,197.2E-6
70.10E-9,169.1E-6
70.10E-9,180.2E-6
70.10E-9,181.2E-6
70.10E-9,192.7E-6
70.10E-9,209.0E-6
70.10E-9,225.6E-6
70.11E-9,229.4E-6
70.11E-9,217.2E-6
70.12E-9,209.1E-6
70.13E-9,203.7E-6
70.14E-9,196.9E-6
70.15E-9,196.2E-6
70.16E-9,199.5E-6
70.17E-9,204.6E-6
70.18E-9,206.7E-6
70.19E-9,205.4E-6
70.20E-9,200.7E-6
70.20E-9,200.6E-6
70.20E-9,200.5E-6
70.20E-9,200.5E-6
70.20E-9,201.9E-6
70.20E-9,203.1E-6
70.20E-9,206.1E-6
70.21E-9,213.7E-6
70.21E-9,230.9E-6
70.22E-9,262.2E-6
70.23E-9,286.5E-6
70.25E-9,290.6E-6
70.26E-9,280.7E-6
70.28E-9,274.6E-6
70.29E-9,272.6E-6
70.31E-9,272.3E-6
70.34E-9,272.2E-6
70.37E-9,270.4E-6
70.43E-9,263.5E-6
70.49E-9,248.0E-6
70.58E-9,220.4E-6
70.69E-9,183.1E-6
70.84E-9,148.2E-6
71.02E-9,105.9E-6
71.21E-9,42.10E-6
71.42E-9,2.076E-6
71.51E-9,1.680E-6
71.70E-9,-1.214E-6
71.90E-9,210.5E-9
72.20E-9,-1.246E-6
72.50E-9,61.43E-9
72.50E-9,39.83E-6
72.50E-9,115.5E-6
72.50E-9,248.8E-6
72.50E-9,369.2E-6
72.50E-9,518.5E-6
72.51E-9,639.6E-6
72.51E-9,717.1E-6
72.52E-9,736.8E-6
72.53E-9,725.4E-6
72.53E-9,716.4E-6
72.53E-9,696.6E-6
72.54E-9,683.8E-6
72.54E-9,673.0E-6
72.54E-9,674.5E-6
72.54E-9,683.9E-6
72.54E-9,690.1E-6
72.55E-9,691.1E-6
72.55E-9,687.9E-6
72.55E-9,685.3E-6
72.55E-9,682.1E-6
72.55E-9,678.2E-6
72.55E-9,669.8E-6
72.55E-9,665.6E-6
72.55E-9,657.3E-6
72.55E-9,641.4E-6
72.55E-9,633.6E-6
72.55E-9,618.6E-6
72.55E-9,590.2E-6
72.55E-9,539.1E-6
72.55E-9,454.4E-6
72.55E-9,331.1E-6
72.56E-9,223.8E-6
72.56E-9,139.9E-6
72.56E-9,76.89E-6
72.57E-9,58.47E-6
72.57E-9,132.5E-6
72.58E-9,234.1E-6
72.58E-9,343.8E-6
72.58E-9,439.9E-6
72.59E-9,525.8E-6
72.60E-9,488.9E-6
72.60E-9,-554.8E-6
72.61E-9,-2.823E-3
72.61E-9,-6.609E-3
72.62E-9,-10.72E-3
72.62E-9,-11.53E-3
72.62E-9,-11.85E-3
72.62E-9,-12.19E-3
72.62E-9,-11.75E-3
72.63E-9,-9.636E-3
72.63E-9,-7.752E-3
72.63E-9,-5.871E-3
72.64E-9,-3.676E-3
72.64E-9,-1.992E-3
72.65E-9,-822.0E-6
72.66E-9,-112.2E-6
72.67E-9,260.9E-6
72.68E-9,373.3E-6
72.70E-9,337.3E-6
72.72E-9,273.8E-6
72.75E-9,211.3E-6
72.81E-9,151.4E-6
72.89E-9,105.7E-6
72.99E-9,74.85E-6
73.13E-9,53.41E-6
73.32E-9,38.14E-6
73.57E-9,27.13E-6
73.92E-9,19.28E-6
74.39E-9,13.69E-6
75.00E-9,9.895E-6
75.00E-9,-10.33E-6
75.00E-9,-46.14E-6
75.00E-9,-99.43E-6
75.00E-9,-143.6E-6
75.00E-9,-198.4E-6
75.01E-9,-254.6E-6
75.01E-9,-302.7E-6
75.02E-9,-330.7E-6
75.03E-9,-356.5E-6
75.03E-9,-389.1E-6
75.04E-9,-476.6E-6
75.04E-9,-795.2E-6
75.05E-9,-1.351E-3
75.05E-9,-2.193E-3
75.05E-9,-2.190E-3
75.05E-9,-2.184E-3
75.05E-9,-2.176E-3
75.05E-9,-2.175E-3
75.05E-9,-2.174E-3
75.05E-9,-2.175E-3
75.05E-9,-2.180E-3
75.05E-9,-2.180E-3
75.05E-9,-2.175E-3
75.06E-9,-2.144E-3
75.06E-9,-2.038E-3
75.06E-9,-1.889E-3
75.07E-9,-1.604E-3
75.07E-9,-1.052E-3
75.07E-9,-351.4E-6
75.08E-9,79.28E-6
75.08E-9,206.9E-6
75.09E-9,141.4E-6
75.09E-9,99.19E-6
75.10E-9,93.63E-6
75.10E-9,105.2E-6
75.10E-9,103.3E-6
75.10E-9,99.14E-6
75.10E-9,92.63E-6
75.10E-9,86.27E-6
75.10E-9,85.25E-6
75.10E-9,85.47E-6
75.10E-9,91.42E-6
75.11E-9,109.5E-6
75.11E-9,151.2E-6
75.12E-9,183.3E-6
75.13E-9,198.7E-6
75.14E-9,204.2E-6
75.15E-9,207.9E-6
75.16E-9,215.3E-6
75.18E-9,226.1E-6
75.20E-9,236.3E-6
75.21E-9,244.9E-6
75.23E-9,253.0E-6
75.25E-9,261.8E-6
75.29E-9,270.6E-6
75.34E-9,276.3E-6
75.40E-9,272.8E-6
75.49E-9,254.2E-6
75.60E-9,215.5E-6
75.76E-9,166.7E-6
75.97E-9,120.5E-6
76.15E-9,61.67E-6
76.37E-9,7.276E-6
76.65E-9,-727.5E-9
76.85E-9,-92.94E-9
77.08E-9,13.49E-9
77.50E-9,29.11E-9
77.50E-9,42.53E-6
77.50E-9,123.4E-6
77.50E-9,259.4E-6
77.50E-9,386.6E-6
77.50E-9,542.4E-6
77.51E-9,660.7E-6
77.51E-9,730.6E-6
77.52E-9,740.0E-6
77.53E-9,718.1E-6
77.53E-9,697.1E-6
77.53E-9,659.1E-6
77.54E-9,628.4E-6
77.54E-9,620.3E-6
77.54E-9,645.8E-6
77.54E-9,672.8E-6
77.55E-9,698.7E-6
77.55E-9,710.4E-6
77.55E-9,714.9E-6
77.55E-9,713.5E-6
77.55E-9,707.7E-6
77.55E-9,695.5E-6
77.55E-9,689.5E-6
77.55E-9,677.8E-6
77.55E-9,655.2E-6
77.55E-9,613.3E-6
77.55E-9,539.9E-6
77.55E-9,424.7E-6
77.55E-9,285.2E-6
77.56E-9,179.7E-6
77.56E-9,103.5E-6
77.57E-9,90.74E-6
77.57E-9,167.1E-6
77.57E-9,261.3E-6
77.58E-9,383.1E-6
77.58E-9,469.9E-6
77.59E-9,547.9E-6
77.59E-9,460.9E-6
77.60E-9,-497.6E-6
77.60E-9,-2.845E-3
77.61E-9,-6.478E-3
77.62E-9,-10.63E-3
77.62E-9,-11.30E-3
77.62E-9,-11.54E-3
77.62E-9,-10.42E-3
77.62E-9,-9.835E-3
77.63E-9,-8.651E-3
77.63E-9,-7.133E-3
77.63E-9,-4.485E-3
77.64E-9,-2.605E-3
77.64E-9,-1.226E-3
77.65E-9,-373.1E-6
77.66E-9,140.2E-6
77.67E-9,356.5E-6
77.69E-9,370.2E-6
77.71E-9,310.0E-6
77.73E-9,244.8E-6
77.77E-9,184.1E-6
77.84E-9,125.9E-6
77.93E-9,89.30E-6
78.05E-9,63.23E-6
78.21E-9,45.43E-6
78.43E-9,32.23E-6
78.73E-9,22.99E-6
79.13E-9,16.24E-6
79.57E-9,12.40E-6
80.00E-9,9.891E-6
80.00E-9,-17.50E-6
80.00E-9,-65.78E-6
80.00E-9,-136.4E-6
80.00E-9,-201.1E-6
80.00E-9,-263.7E-6
80.01E-9,-310.7E-6
80.01E-9,-338.1E-6
80.02E-9,-339.7E-6
80.02E-9,-355.0E-6
80.03E-9,-394.7E-6
80.04E-9,-445.8E-6
80.04E-9,-714.8E-6
80.05E-9,-1.319E-3
80.05E-9,-2.181E-3
80.05E-9,-2.180E-3
80.05E-9,-2.176E-3
80.05E-9,-2.172E-3
80.05E-9,-2.171E-3
80.05E-9,-2.170E-3
80.05E-9,-2.170E-3
80.05E-9,-2.175E-3
80.05E-9,-2.177E-3
80.05E-9,-2.177E-3
80.06E-9,-2.162E-3
80.06E-9,-2.109E-3
80.06E-9,-2.038E-3
80.06E-9,-1.943E-3
80.07E-9,-1.724E-3
80.07E-9,-1.147E-3
80.08E-9,-693.5E-6
80.08E-9,-385.6E-6
80.08E-9,-259.8E-6
80.09E-9,-174.7E-6
80.09E-9,-119.5E-6
80.10E-9,-10.16E-6
80.10E-9,7.419E-6
80.10E-9,16.09E-6
80.10E-9,31.55E-6
80.10E-9,56.08E-6
80.10E-9,85.92E-6
80.11E-9,119.5E-6
80.11E-9,153.2E-6
80.12E-9,170.3E-6
80.13E-9,185.3E-6
80.14E-9,192.5E-6
80.15E-9,198.7E-6
80.16E-9,207.8E-6
80.16E-9,212.4E-6
80.18E-9,225.9E-6
80.19E-9,233.8E-6
80.19E-9,234.4E-6
80.20E-9,233.1E-6
80.20E-9,228.8E-6
80.20E-9,228.4E-6
80.20E-9,227.2E-6
80.20E-9,226.3E-6
80.20E-9,224.3E-6
80.21E-9,221.2E-6
80.21E-9,224.3E-6
80.22E-9,243.4E-6
80.23E-9,249.3E-6
80.23E-9,241.0E-6
80.24E-9,237.9E-6
80.26E-9,244.1E-6
80.27E-9,251.1E-6
80.28E-9,257.0E-6
80.30E-9,261.5E-6
80.32E-9,264.9E-6
80.34E-9,269.5E-6
80.36E-9,273.1E-6
80.37E-9,275.1E-6
80.39E-9,276.3E-6
80.40E-9,276.2E-6
80.40E-9,272.9E-6
80.40E-9,266.9E-6
80.40E-9,259.7E-6
80.40E-9,256.5E-6
80.41E-9,265.0E-6
80.42E-9,278.5E-6
80.43E-9,276.4E-6
80.45E-9,268.3E-6
80.48E-9,260.8E-6
80.51E-9,250.7E-6
80.55E-9,234.6E-6
80.62E-9,210.7E-6
80.70E-9,182.0E-6
80.82E-9,153.3E-6
80.97E-9,120.6E-6
81.15E-9,62.22E-6
81.35E-9,8.809E-6
81.42E-9,4.027E-6
81.58E-9,-91.34E-9
81.74E-9,-366.7E-9
82.05E-9,-996.5E-9
82.50E-9,-524.6E-9
82.50E-9,44.26E-6
82.50E-9,130.3E-6
82.50E-9,270.5E-6
82.50E-9,408.9E-6
82.50E-9,580.5E-6
82.51E-9,709.1E-6
82.51E-9,769.4E-6
82.52E-9,764.0E-6
82.53E-9,729.5E-6
82.53E-9,697.8E-6
82.53E-9,653.7E-6
82.54E-9,629.4E-6
82.54E-9,613.1E-6
82.54E-9,604.4E-6
82.54E-9,601.4E-6
82.54E-9,607.0E-6
82.55E-9,624.9E-6
82.55E-9,645.6E-6
82.55E-9,662.7E-6
82.55E-9,679.0E-6
82.55E-9,674.0E-6
82.55E-9,663.6E-6
82.55E-9,658.3E-6
82.55E-9,648.2E-6
82.55E-9,628.6E-6
82.55E-9,619.2E-6
82.55E-9,600.9E-6
82.55E-9,566.7E-6
82.55E-9,506.1E-6
82.55E-9,409.1E-6
82.56E-9,276.1E-6
82.56E-9,179.6E-6
82.56E-9,108.7E-6
82.56E-9,54.58E-6
82.57E-9,31.88E-6
82.57E-9,70.06E-6
82.58E-9,152.0E-6
82.58E-9,251.7E-6
82.59E-9,349.6E-6
82.59E-9,465.2E-6
82.60E-9,540.7E-6
82.60E-9,115.3E-6
82.61E-9,-1.418E-3
82.62E-9,-4.980E-3
82.62E-9,-8.895E-3
82.62E-9,-10.68E-3
82.63E-9,-11.98E-3
82.63E-9,-11.69E-3
82.63E-9,-9.920E-3
82.63E-9,-9.238E-3
82.64E-9,-7.912E-3
82.64E-9,-5.672E-3
82.64E-9,-3.452E-3
82.65E-9,-1.809E-3
82.66E-9,-720.8E-6
82.66E-9,-55.38E-6
82.67E-9,283.0E-6
82.69E-9,373.6E-6
82.71E-9,328.8E-6
82.73E-9,265.7E-6
82.76E-9,203.3E-6
82.82E-9,143.8E-6
82.90E-9,100.3E-6
83.01E-9,71.65E-6
83.16E-9,50.57E-6
83.35E-9,36.70E-6
83.62E-9,25.43E-6
83.98E-9,18.71E-6
84.47E-9,12.60E-6
85.00E-9,10.26E-6
85.00E-9,-9.788E-6
85.00E-9,-44.75E-6
85.00E-9,-95.59E-6
85.00E-9,-136.8E-6
85.00E-9,-186.9E-6
85.01E-9,-238.0E-6
85.01E-9,-284.4E-6
85.02E-9,-318.5E-6
85.03E-9,-372.4E-6
85.03E-9,-433.3E-6
85.04E-9,-542.5E-6
85.04E-9,-858.8E-6
85.05E-9,-1.407E-3
85.05E-9,-2.243E-3
85.05E-9,-2.238E-3
85.05E-9,-2.228E-3
85.05E-9,-2.212E-3
85.05E-9,-2.207E-3
85.05E-9,-2.199E-3
85.05E-9,-2.186E-3
85.05E-9,-2.168E-3
85.05E-9,-2.136E-3
85.06E-9,-2.054E-3
85.06E-9,-1.960E-3
85.06E-9,-1.778E-3
85.07E-9,-1.398E-3
85.07E-9,-603.7E-6
85.08E-9,-73.54E-6
85.08E-9,167.2E-6
85.09E-9,156.8E-6
85.09E-9,105.2E-6
85.10E-9,91.63E-6
85.10E-9,108.6E-6
85.10E-9,106.0E-6
85.10E-9,100.8E-6
85.10E-9,92.28E-6
85.10E-9,89.18E-6
85.10E-9,84.10E-6
85.10E-9,79.90E-6
85.10E-9,79.15E-6
85.11E-9,98.50E-6
85.11E-9,149.9E-6
85.12E-9,188.2E-6
85.13E-9,204.9E-6
85.14E-9,208.3E-6
85.15E-9,210.0E-6
85.17E-9,217.3E-6
85.19E-9,228.0E-6
85.20E-9,238.6E-6
85.22E-9,247.3E-6
85.23E-9,256.2E-6
85.26E-9,265.3E-6
85.30E-9,273.9E-6
85.35E-9,277.7E-6
85.42E-9,270.9E-6
85.51E-9,247.3E-6
85.64E-9,204.1E-6
85.80E-9,155.8E-6
86.02E-9,106.2E-6
86.21E-9,42.43E-6
86.42E-9,1.874E-6
86.51E-9,2.111E-6
86.68E-9,-1.286E-6
86.88E-9,873.5E-9
87.19E-9,-1.186E-6
87.50E-9,660.6E-9
87.50E-9,47.79E-6
87.50E-9,139.6E-6
87.50E-9,294.7E-6
87.50E-9,453.3E-6
87.50E-9,660.5E-6
87.51E-9,824.9E-6
87.51E-9,931.7E-6
87.52E-9,1.019E-3
87.53E-9,1.049E-3
87.53E-9,1.027E-3
87.53E-9,907.1E-6
87.54E-9,758.0E-6
87.54E-9,480.0E-6
87.54E-9,124.6E-6
87.54E-9,-220.8E-6
87.55E-9,-680.6E-6
87.55E-9,-1.210E-3
87.55E-9,-2.091E-3
87.55E-9,-3.280E-3
87.55E-9,-3.312E-3
87.55E-9,-3.376E-3
87.55E-9,-3.409E-3
87.55E-9,-3.473E-3
87.55E-9,-3.604E-3
87.55E-9,-3.866E-3
87.55E-9,-4.401E-3
87.55E-9,-5.505E-3
87.55E-9,-7.841E-3
87.56E-9,-10.98E-3
87.56E-9,-14.82E-3
87.56E-9,-15.04E-3
87.57E-9,5.948E-3
87.57E-9,41.37E-3
87.58E-9,97.82E-3
87.58E-9,164.6E-3
87.58E-9,259.9E-3
87.59E-9,384.8E-3
87.60E-9,530.7E-3
87.60E-9,645.2E-3
87.61E-9,739.2E-3
87.61E-9,808.9E-3
87.61E-9,830.7E-3
87.62E-9,866.9E-3
87.62E-9,895.8E-3
87.62E-9,914.0E-3
87.63E-9,919.1E-3
87.63E-9,928.4E-3
87.63E-9,940.5E-3
87.64E-9,957.3E-3
87.64E-9,970.5E-3
87.65E-9,981.4E-3
87.65E-9,989.6E-3
87.66E-9,995.8E-3
87.67E-9,999.7E-3
87.69E-9,1.001
87.71E-9,1.001
87.74E-9,1.001
87.79E-9,1.001
87.86E-9,1.000
87.96E-9,1.000
88.09E-9,1.000
88.26E-9,1.000
88.50E-9,1.000
88.82E-9,1.000
89.26E-9,1.000
89.63E-9,1.000
90.00E-9,1.000
90.00E-9,1.000
90.00E-9,999.9E-3
90.00E-9,999.7E-3
90.00E-9,999.5E-3
90.00E-9,999.3E-3
90.01E-9,999.0E-3
90.01E-9,998.9E-3
90.02E-9,998.7E-3
90.02E-9,998.5E-3
90.03E-9,998.8E-3
90.04E-9,999.9E-3
90.04E-9,1.002
90.05E-9,1.004
90.05E-9,1.007
90.05E-9,1.007
90.05E-9,1.007
90.05E-9,1.008
90.05E-9,1.008
90.05E-9,1.008
90.05E-9,1.008
90.05E-9,1.010
90.05E-9,1.010
90.05E-9,1.011
90.06E-9,1.012
90.06E-9,1.004
90.06E-9,976.7E-3
90.06E-9,922.7E-3
90.07E-9,840.7E-3
90.07E-9,709.7E-3
90.08E-9,599.9E-3
90.08E-9,476.2E-3
90.08E-9,334.8E-3
90.09E-9,206.5E-3
90.09E-9,136.6E-3
90.10E-9,62.97E-3
90.10E-9,59.98E-3
90.10E-9,58.51E-3
90.10E-9,55.66E-3
90.10E-9,50.35E-3
90.10E-9,41.11E-3
90.11E-9,27.17E-3
90.11E-9,11.68E-3
90.12E-9,4.530E-3
90.13E-9,1.517E-3
90.14E-9,512.3E-6
90.15E-9,287.5E-6
90.16E-9,206.7E-6
90.17E-9,195.6E-6
90.18E-9,198.4E-6
90.19E-9,205.1E-6
90.20E-9,216.1E-6
90.20E-9,216.3E-6
90.20E-9,216.5E-6
90.20E-9,217.3E-6
90.20E-9,220.1E-6
90.20E-9,221.9E-6
